Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HC,AC,OC,HCC,ACC,OCC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,OTSR,OTSTR
Bayern Munich,18.33,12,13.5,10,4.33,6.5,4.33,8.67,6.5,1.67,2.33,2,3,1.33,2,0,0.33,0.25,3,1,1.75,7.33,5,5,2.33,3,2.5,1,0.78,1,0.81,0.85,0.57,0.64,0.65,0.75
Augsburg,10,11.33,9.5,5,4.33,4.5,14.33,15.67,14.75,4.67,5.67,5,1.67,2,1.5,2,2.33,2,-0.33,-0.33,-0.5,2,3.67,2.25,5.33,5.67,6.25,0.44,0.44,0.5,0.42,0.51,0.4,0.43,0.38,0.47
Darmstadt,10.67,11.67,10.25,5,2.67,3.5,11,13.33,11.5,3.67,4,3.5,2,1,1.75,1.33,0.67,1,0.67,0.33,0.75,3.67,1,2.5,5,5.33,5,0.56,0.56,0.67,0.49,0.57,0.48,0.39,0.48,0.48
Dortmund,19.67,14,16.5,7.67,5.67,5.75,6,7.33,7.75,1.33,2.33,2.5,2.67,2.33,2.75,0.67,1,1.25,2,1.33,1.5,9.67,5.33,8.25,1.33,1.67,1.25,1,0.78,0.83,0.77,0.85,0.66,0.71,0.68,0.71
Leverkusen,12.67,15.67,12.75,5,6.67,6.5,9.67,14,12.75,5.33,6.33,6.25,2.33,2.33,2.5,0,1,0,2.33,1.33,2.5,4.67,7.33,6.5,3.67,3.33,3.5,1,0.78,1,0.57,0.48,0.53,0.51,0.51,0.51
Mainz,16,10.33,16,6,3.67,6.25,13.67,16.33,13.25,4,5.33,3.75,2,0.67,2,1.67,1.33,1.75,0.33,-0.67,0.25,4.33,6.33,6.75,3.67,5.33,4.5,0.44,0.22,0.42,0.53,0.6,0.38,0.38,0.54,0.59
Werder Bremen,16.33,7.33,14.5,5.33,2.67,4.75,7.33,19.67,11.25,2.67,9,4,1.67,2,1.75,1.67,3,2,0,-1,-0.25,6,4,5,2,10.33,4.25,0.44,0.33,0.33,0.69,0.64,0.26,0.25,0.58,0.55
Stuttgart,14.67,11.67,10.5,6,4.33,3.5,13.67,16.67,14,6.33,6.67,6.75,2,1.67,0.75,2,2,2,0,-0.33,-1.25,6.67,6,5,4.67,4.33,5.75,0.33,0.22,0.08,0.5,0.45,0.41,0.39,0.43,0.34
Wolfsburg,15.67,11,13.5,3.67,5.67,4,14,14.67,15.25,5,5.33,6,1.33,0.67,1,1,2.33,2,0.33,-1.67,-1,5.33,2.67,4.5,5.33,5.33,6.5,0.56,0,0.17,0.52,0.49,0.44,0.52,0.47,0.46
Hertha,12,6.67,9.25,5,1.67,3.5,11.67,16,13.5,3,6.67,5,2,0.33,1.25,1,3,2.5,1,-2.67,-1.25,5,4.33,5.25,5,4.33,5,0.78,0,0.33,0.5,0.59,0.28,0.2,0.41,0.41
Ein Frankfurt,14.67,5.67,9,3.67,2,3.5,9.33,16.33,12.25,5,8,6.25,0.67,0,0.25,1,2.33,1.5,-0.33,-2.33,-1.25,9.67,1.33,6,3,3,3.75,0.44,0,0.25,0.61,0.43,0.26,0.17,0.44,0.36
FC Koln,13.67,11,11.25,6.67,3.33,4,12,16.67,12.75,4.33,4.67,5.25,0.33,2,1,2,1,1.5,-1.67,1,-0.5,5,5.33,5.75,6,6.33,5.75,0,0.78,0.33,0.53,0.56,0.4,0.41,0.47,0.38
Hamburg,15.67,8,11.75,6.33,3.33,4.75,8.67,14.67,13.25,4.67,5.67,6.5,1.33,1,1.25,1.67,1.33,2,-0.33,-0.33,-0.75,6,3.67,4.75,2,6.67,4.75,0.33,0.33,0.25,0.65,0.6,0.35,0.35,0.44,0.37
Hannover,15,11.33,11.75,6,3.67,5.5,9.67,12.67,10.25,3.67,6,4.75,0.67,1,1,1.67,2.33,1.5,-1,-1.33,-0.5,6.33,3.67,4.25,2.67,8,6.75,0.33,0.11,0.33,0.61,0.58,0.47,0.38,0.53,0.53
Hoffenheim,14.33,11.67,13.5,4.67,6.33,6.75,11.33,19,13.75,4,8.33,4.25,1.33,2,2,0.67,2,0.75,0.67,0,1.25,3.33,2.67,3.5,6,9.67,7.75,0.78,0.67,0.83,0.56,0.6,0.38,0.46,0.51,0.68
Schalke 04,14,10.33,8,4.67,3.33,2.75,15.33,14,16,5.67,5.33,6,2.33,0,1,1.67,2.67,2.25,0.67,-2.67,-1.25,3.67,4.33,2.75,6.67,5.33,6.25,0.78,0,0.33,0.45,0.42,0.42,0.38,0.34,0.31
Ingolstadt,16.33,9.67,11,5.33,3.67,3.25,10.67,11.33,7.25,3.67,2.67,2.5,2.33,0.67,1.25,1,1.67,1,1.33,-1,0.25,4.33,4,5,5.33,4.33,3.5,0.78,0.11,0.5,0.61,0.6,0.5,0.56,0.6,0.56
M'gladbach,15.67,12.33,13.5,7.33,4.33,5.25,6.67,11,10,1.67,5,4.25,4,0.33,1.5,0,1.67,1.25,4,-1.33,0.25,3.33,3.67,4.5,3.67,4,4.5,1,0,0.25,0.71,0.82,0.5,0.45,0.55,0.54
