Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Bayern Munich,19,12.3333333333333,9.66666666666667,3.66666666666667,3.66666666666667,9.66666666666667,1.33333333333333,4.33333333333333,2.33333333333333,1,0.666666666666667,0,11.6666666666667,11.6666666666667,11.6666666666667,12.6666666666667,9,6,1.66666666666667,1,0.666666666666667,0.777777777777778,0.833333333333333,0.836998556998557,0.865079365079365,0.548534798534798,0.501587301587302,0.163001443001443,0.134920634920635,0.451465201465201,0.498412698412698
Augsburg,13.6666666666667,14.6666666666667,4.33333333333333,4.33333333333333,14.3333333333333,14.6666666666667,5.66666666666667,6.66666666666667,2,1.66666666666667,2.66666666666667,2.66666666666667,14.3333333333333,14.6666666666667,9.33333333333333,14,1.33333333333333,5.66666666666667,4.33333333333333,4.66666666666667,0.222222222222222,0.111111111111111,0.166666666666667,0.463071895424837,0.436026936026936,0.505611672278339,0.39040404040404,0.536928104575163,0.563973063973064,0.494388327721661,0.60959595959596
Darmstadt,10.3333333333333,11.3333333333333,4.33333333333333,2.33333333333333,12.6666666666667,15.6666666666667,5,5.33333333333333,1.33333333333333,1,2,1,13.3333333333333,19,17,18.3333333333333,3.66666666666667,1.33333333333333,5,5,0.222222222222222,0.333333333333333,0.333333333333333,0.436728395061728,0.445707070707071,0.421698373311277,0.298412698412698,0.563271604938272,0.554292929292929,0.578301626688723,0.701587301587302
Dortmund,18.6666666666667,11,7,4.66666666666667,10,7,2.33333333333333,2.33333333333333,1.66666666666667,2,0.666666666666667,0.333333333333333,10.3333333333333,10.6666666666667,10.6666666666667,16,7,2.66666666666667,3.33333333333333,4,0.777777777777778,1,0.833333333333333,0.652586996336996,0.718614718614719,0.603240740740741,0.643518518518518,0.347413003663004,0.281385281385281,0.396759259259259,0.356481481481481
Leverkusen,14,15.6666666666667,5,6,10.3333333333333,12.6666666666667,4.66666666666667,5.66666666666667,1.66666666666667,2,1.33333333333333,2,15.3333333333333,17.6666666666667,14.6666666666667,14,6.66666666666667,8.66666666666667,5,1,0.666666666666667,0.444444444444444,0.833333333333333,0.573793490460157,0.514814814814815,0.548482169171824,0.502164502164502,0.426206509539843,0.485185185185185,0.451517830828176,0.497835497835498
Mainz,14.6666666666667,6.33333333333333,6,1.66666666666667,13.6666666666667,16.3333333333333,4,6.33333333333333,2.33333333333333,1,1,1.33333333333333,17.3333333333333,14.6666666666667,16,8.66666666666667,2.66666666666667,2.33333333333333,5.33333333333333,6.66666666666667,0.777777777777778,0.444444444444444,0.416666666666667,0.512432012432012,0.597041847041847,0.289377289377289,0.244444444444444,0.487567987567988,0.402958152958153,0.710622710622711,0.755555555555556
Werder Bremen,13.6666666666667,7.33333333333333,5,2.66666666666667,11,19.6666666666667,3.33333333333333,9,2.33333333333333,2,1.33333333333333,3,15.6666666666667,7.33333333333333,18.6666666666667,12,3,4,3.66666666666667,10.3333333333333,0.555555555555556,0.333333333333333,0.333333333333333,0.557744937055282,0.6,0.259855499438833,0.248051948051948,0.442255062944718,0.4,0.740144500561167,0.751948051948052
Stuttgart,19,11.3333333333333,8.66666666666667,4,13.3333333333333,17,7,6.66666666666667,2,1.66666666666667,1.66666666666667,3,17,17.3333333333333,13.3333333333333,12,10,4.66666666666667,3.66666666666667,3.66666666666667,0.333333333333333,0.222222222222222,0.416666666666667,0.582488167680865,0.548677248677249,0.395785659801678,0.365079365079365,0.417511832319135,0.451322751322751,0.604214340198322,0.634920634920635
Wolfsburg,14.3333333333333,16,5.33333333333333,8.33333333333333,13,9.66666666666667,3.33333333333333,3,1,1.33333333333333,1.33333333333333,1.33333333333333,12,15,13,8.66666666666667,3.33333333333333,4.66666666666667,3.66666666666667,3.33333333333333,0.444444444444444,0.333333333333333,0.333333333333333,0.515566583953681,0.625,0.608190659914798,0.721445221445221,0.484433416046319,0.375,0.391809340085202,0.278554778554779
Hertha,11.3333333333333,6.66666666666667,4.33333333333333,2,11.6666666666667,15.3333333333333,3,5.33333333333333,2,0.333333333333333,0.333333333333333,2.33333333333333,15.3333333333333,10,16.6666666666667,14,3.33333333333333,5.33333333333333,4.66666666666667,4,1,0.333333333333333,0.5,0.484543010752688,0.574074074074074,0.28937908496732,0.288888888888889,0.515456989247312,0.425925925925926,0.71062091503268,0.711111111111111
