Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HC,AC,OC,HCC,ACC,OCC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,OTSR,OTSTR
Bournemouth,13.67,10,10.75,3.67,2.67,2.5,15.33,12.33,14.25,5.67,4,5.5,1.33,1.67,0.75,2.67,1.67,2.5,-1.33,0,-1.75,4.67,5.67,5.5,3.67,4,3.75,0.33,0.67,0.25,0.47,0.39,0.44,0.46,0.42,0.36
Chelsea,17.67,9.67,13,5.33,4,4.75,13.33,13.33,12.75,6.33,4,6,1,2,1.5,2,0.67,1.5,-1,1.33,0,9.67,5,8,5.33,4,5,0.22,0.67,0.33,0.56,0.46,0.42,0.47,0.49,0.43
Everton,10,8,7.75,4,4,3.5,15.33,22.67,21.5,4,8,7,1,0.33,0.5,2,1.67,1.5,-1,-1.33,-1,6.33,4.67,4.25,7,8.67,9,0.11,0.22,0.25,0.39,0.45,0.3,0.35,0.29,0.34
Leicester,9,13,10.5,2.33,5.67,4,14,12.67,14,2.67,3,2.75,1.33,1.33,1.5,0.67,0,0.5,0.67,1.33,1,5,7.33,5.25,5.67,4.67,6,0.78,1,0.83,0.4,0.44,0.5,0.65,0.42,0.58
Man United,13,5.67,11,5.33,1.67,4.25,6.33,17,8.75,0.67,4,2.5,1.33,0.33,1,0,1.33,0.75,1.33,-1,0.25,9.67,5.67,9,3.33,5.67,3,1,0.33,0.75,0.67,0.82,0.28,0.35,0.56,0.64
Norwich,12.33,9.33,13,4,2.67,4.25,12,11,11,3.67,3,3.5,1,0.33,1,1.67,0.67,1.5,-0.67,-0.33,-0.5,7.67,2.33,6.75,4.33,6.33,4.75,0.44,0.33,0.5,0.48,0.4,0.45,0.63,0.53,0.65
Arsenal,19.33,10.67,15.5,7.33,4.33,6.75,8,17.67,10,2,6.67,3.25,2,2.33,2.5,1,1.67,1,1,0.67,1.5,8.33,3.67,6.75,3.67,7.67,5.5,0.44,0.56,0.67,0.71,0.76,0.41,0.44,0.61,0.67
Newcastle,11.33,10.33,8.75,6,3.33,4.5,11.33,14.33,13.25,3.33,4.33,4.5,1.67,1,1.75,0.67,2.33,1.75,1,-1.33,0,3.33,3.67,3.75,5,8.33,6.75,0.56,0,0.33,0.48,0.64,0.42,0.48,0.39,0.51
Stoke,12.33,11.67,10.75,3,4.67,4,15.33,14.33,14.5,4.33,5.67,4.75,1,1.33,1.25,2.67,2,2.75,-1.67,-0.67,-1.5,3.67,3,3.75,4,7.67,5.75,0.11,0.44,0.33,0.46,0.4,0.45,0.45,0.44,0.45
West Brom,11.67,9,10.5,2,1.67,1.5,8.33,19,13.25,2,5.33,4,0.33,1,0.25,0.67,1.33,1,-0.33,-0.33,-0.75,5.67,4.67,6,3.67,9.33,5.75,0.33,0.22,0.08,0.58,0.39,0.32,0.24,0.45,0.21
