Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Bournemouth,10.6666666666667,9.66666666666667,3.33333333333333,2.66666666666667,11,15,4,4,1.66666666666667,1,2,1.33333333333333,10.6666666666667,10.3333333333333,12.3333333333333,12.6666666666667,6.33333333333333,4.66666666666667,3,4.33333333333333,0.666666666666667,0.444444444444444,0.75,0.507692307692308,0.507407407407407,0.35953216374269,0.458333333333333,0.492307692307692,0.492592592592593,0.64046783625731,0.541666666666667
Chelsea,19,12.3333333333333,5.66666666666667,4.66666666666667,13,11.6666666666667,5,2.66666666666667,2.66666666666667,2.66666666666667,1.33333333333333,0.666666666666667,12.6666666666667,8,12.6666666666667,13,8.66666666666667,4.66666666666667,5.33333333333333,6,0.555555555555556,1,0.666666666666667,0.594708994708995,0.531144781144781,0.51783723522854,0.611111111111111,0.405291005291005,0.468855218855219,0.48216276477146,0.388888888888889
Everton,19,10.3333333333333,5.33333333333333,4.66666666666667,11,11.6666666666667,3,3.33333333333333,0.666666666666667,2,2,0.666666666666667,9.33333333333333,7,11.6666666666667,11.3333333333333,10,5.66666666666667,4,6.66666666666667,0,0.666666666666667,0.25,0.587199167791273,0.624175824175824,0.46281045751634,0.527777777777778,0.412800832208727,0.375824175824176,0.53718954248366,0.472222222222222
Leicester,14.3333333333333,9.66666666666667,3.33333333333333,4.33333333333333,11.3333333333333,15.6666666666667,2.33333333333333,4.66666666666667,1.33333333333333,1,0.666666666666667,0.666666666666667,8.66666666666667,11.3333333333333,10,9.33333333333333,8.66666666666667,5.33333333333333,5,8,0.777777777777778,0.666666666666667,1,0.541752933057281,0.541666666666667,0.395268817204301,0.466089466089466,0.458247066942719,0.458333333333333,0.604731182795699,0.533910533910534
Man United,10.3333333333333,8,3.33333333333333,3.33333333333333,11,18.6666666666667,3,3,1.66666666666667,0.666666666666667,0.666666666666667,1,14.3333333333333,11.3333333333333,12.6666666666667,8,5.33333333333333,6,5,7,1,0.333333333333333,0.75,0.485584604212055,0.555555555555555,0.32080889540567,0.492929292929293,0.514415395787945,0.444444444444444,0.67919110459433,0.507070707070707
Norwich,10.3333333333333,8,2.66666666666667,1.66666666666667,12.6666666666667,11,3.33333333333333,2,1.33333333333333,0.333333333333333,1.33333333333333,0.666666666666667,12.6666666666667,13,8.66666666666667,10.3333333333333,4.33333333333333,2.33333333333333,5.66666666666667,4,0.444444444444444,0.333333333333333,0.333333333333333,0.438405797101449,0.348484848484848,0.421766686472569,0.583333333333333,0.561594202898551,0.651515151515151,0.578233313527431,0.416666666666667
Arsenal,20.3333333333333,11.3333333333333,7.33333333333333,4,8,13.6666666666667,2.33333333333333,6,2.33333333333333,2,1,1.66666666666667,8,11.6666666666667,10.3333333333333,12.3333333333333,8.66666666666667,3.33333333333333,2.33333333333333,6,0.666666666666667,0.444444444444444,0.583333333333333,0.718294401186503,0.73015873015873,0.50224171539961,0.455555555555556,0.281705598813496,0.26984126984127,0.49775828460039,0.544444444444444
Newcastle,16.6666666666667,10.3333333333333,6,3.33333333333333,12.3333333333333,10.6666666666667,3,3,1,0.666666666666667,1.33333333333333,1.66666666666667,13,8.66666666666667,9,7,5,3.66666666666667,4.33333333333333,6.33333333333333,0.444444444444444,0,0.0833333333333333,0.58194099807003,0.680555555555555,0.474120082815735,0.573737373737374,0.41805900192997,0.319444444444444,0.525879917184265,0.426262626262626
Stoke,11.3333333333333,12,3,5.66666666666667,9.33333333333333,13.3333333333333,3.33333333333333,4.33333333333333,1.33333333333333,2,1.33333333333333,1,10,14,11.3333333333333,8.66666666666667,3.66666666666667,2.66666666666667,3.66666666666667,8.66666666666667,0.444444444444444,0.777777777777778,0.416666666666667,0.561507936507937,0.452777777777778,0.481481481481481,0.588888888888889,0.438492063492063,0.547222222222222,0.518518518518518,0.411111111111111
West Brom,10,6.33333333333333,2.33333333333333,1.33333333333333,9.66666666666667,26,1.33333333333333,6,1.33333333333333,1,1,0.666666666666667,10,11,12,10,3.66666666666667,2.33333333333333,4.66666666666667,11.3333333333333,0.666666666666667,0.555555555555556,0.416666666666667,0.52460407239819,0.46031746031746,0.193846153846154,0.172619047619048,0.47539592760181,0.53968253968254,0.806153846153846,0.827380952380952
