Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HC,AC,OC,HCC,ACC,OCC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,OTSR,OTSTR
Lazio,14,11.33,15.5,4,3.67,4.75,11.33,15.33,12.25,2.67,6,5.25,1.67,1.33,1.5,1.33,1.33,1.75,0.33,0,-0.25,6.33,4.33,5.75,5,9,5.5,0.67,0.44,0.5,0.53,0.62,0.43,0.4,0.57,0.52
Verona,11,10.67,11.5,3.67,2.67,3,12.67,13.33,13.25,5,4.67,4,0.67,0.33,0.5,2.33,1.33,1.5,-1.67,-1,-1,6.33,6.33,5.75,5,7.33,6.75,0,0.33,0.25,0.46,0.46,0.41,0.37,0.44,0.44
Empoli,10,8.33,8.5,4.67,2,3.75,18.33,17.67,20,4.33,7,6.75,1,0,0.75,0,1.33,0.75,1,-1.33,0,5,2.33,3.25,5.67,5.67,5.75,0.78,0,0.5,0.36,0.53,0.32,0.22,0.29,0.34
Fiorentina,14.33,17.67,16,5.33,4.67,5,9.67,9.67,8.5,3,3.67,3,1.67,0.33,1.25,1,1.33,1.5,0.67,-1,-0.25,8.67,4.67,6.75,4,4,4.25,0.56,0.11,0.33,0.59,0.66,0.63,0.55,0.63,0.63
Frosinone,16.67,10.33,11.5,3.33,2,2,16,19.33,19.5,3.67,7,6,0.67,1,0.75,0.33,3.33,2.75,0.33,-2.33,-2,4.33,3.33,3.5,4.67,7,6.75,0.44,0.33,0.25,0.52,0.49,0.35,0.24,0.37,0.28
Inter,12.67,14.33,14.5,3,3,3.25,9.33,15.67,13.25,2,4.33,3,1.67,0.67,1,1,0.67,0.75,0.67,0,0.25,9.33,4.33,6.5,3.67,6,4.5,0.67,0.44,0.5,0.57,0.61,0.45,0.43,0.52,0.53
Juventus,18,10.67,15.75,9,5.33,7.75,8.67,11.33,9.25,2.67,4.67,3.25,2.67,2.67,2.5,0,0.67,0.25,2.67,2,2.25,8.67,3,7,3.33,3.67,3,1,1,1,0.67,0.76,0.48,0.54,0.62,0.68
Palermo,9,12.33,11.5,2,3.33,3.25,15.33,12,13.25,6.33,4.33,5.5,0.67,0.33,0.75,2,2.33,3,-1.33,-2,-2.25,6,4.33,5.25,6,5.67,4.5,0.11,0.11,0.08,0.37,0.25,0.51,0.43,0.47,0.38
Sampdoria,13.67,8.33,9.25,5,3.67,3.5,14,19.33,18.25,3.67,7,5.25,0.67,0.67,0.75,0.67,0.67,0.5,0,0,0.25,4.33,2.33,3.25,8.67,10,10.5,0.33,0.33,0.42,0.49,0.58,0.3,0.34,0.33,0.44
Sassuolo,17.67,8.33,14.5,4.67,3.33,5.25,7,13.33,9.25,3,4,2.75,0.33,1.33,1,0.67,1.67,1.25,-0.33,-0.33,-0.25,9,4.33,8.75,2.33,7,4.5,0.22,0.33,0.33,0.71,0.54,0.39,0.43,0.59,0.61
Bologna,11.33,7,7.25,2,1.33,1,5.33,16,11,2,8.67,5.75,0,0.33,0.25,0.67,3,2.25,-0.67,-2.67,-2,8.67,5,5,4.67,9.67,8.25,0.11,0.11,0.08,0.67,0.47,0.31,0.17,0.45,0.26
