Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Lazio,12.6666666666667,13,2.66666666666667,3,12,13.6666666666667,4.33333333333333,3,1,0.666666666666667,2,0.666666666666667,14,18,17.3333333333333,13.6666666666667,6.66666666666667,5,5.33333333333333,7,0.333333333333333,0.333333333333333,0.416666666666667,0.492986542443064,0.444444444444444,0.4942175066313,0.518518518518518,0.507013457556936,0.555555555555555,0.5057824933687,0.481481481481481
Verona,13,8.66666666666667,5,2.33333333333333,13,10.6666666666667,5,3,1.33333333333333,0.666666666666667,2,1,15.6666666666667,15.6666666666667,16.6666666666667,14.6666666666667,7.66666666666667,4.66666666666667,4.33333333333333,8.66666666666667,0.333333333333333,0.444444444444444,0.333333333333333,0.483095975232198,0.502777777777778,0.429309820614168,0.444444444444444,0.516904024767802,0.497222222222222,0.570690179385832,0.555555555555555
Empoli,11.3333333333333,9.66666666666667,3.66666666666667,3,13.6666666666667,15.6666666666667,4.33333333333333,7,0.666666666666667,0.666666666666667,1.33333333333333,1.66666666666667,14.3333333333333,15,16.3333333333333,18.3333333333333,6.33333333333333,3.33333333333333,4,6.66666666666667,0.222222222222222,0,0.166666666666667,0.447291235334714,0.477777777777778,0.385403726708075,0.29978354978355,0.552708764665286,0.522222222222222,0.614596273291925,0.70021645021645
Fiorentina,13.6666666666667,16,4.33333333333333,5,8.66666666666667,13,4.33333333333333,5.33333333333333,1,1.33333333333333,1,2,9.66666666666667,13.6666666666667,16.6666666666667,18,8,3.33333333333333,3,4.33333333333333,0.333333333333333,0.444444444444444,0.25,0.605296664120194,0.444444444444444,0.540924369747899,0.446794871794872,0.394703335879806,0.555555555555556,0.459075630252101,0.553205128205128
Frosinone,14.3333333333333,12.3333333333333,3,2.33333333333333,15.3333333333333,19.3333333333333,3.33333333333333,6,0.666666666666667,0.333333333333333,0,2.66666666666667,17,13.6666666666667,11,17,5,6.33333333333333,4.66666666666667,8.66666666666667,0.555555555555556,0,0.333333333333333,0.484578977479586,0.466666666666667,0.398333333333333,0.298701298701299,0.515421022520414,0.533333333333333,0.601666666666667,0.701298701298701
Inter,12.3333333333333,6.66666666666667,3.33333333333333,2,9,12.6666666666667,2.66666666666667,6.66666666666667,2,0.666666666666667,1.33333333333333,1.66666666666667,13.3333333333333,15,12.3333333333333,13.3333333333333,10,3,3.33333333333333,6,0.666666666666667,0.111111111111111,0.583333333333333,0.573330559600583,0.568518518518519,0.353034993901867,0.231481481481481,0.426669440399418,0.431481481481481,0.646965006098133,0.768518518518518
Juventus,14.6666666666667,11,7.33333333333333,4,8,10.3333333333333,2.66666666666667,3.33333333333333,1.33333333333333,2,0,0.333333333333333,14.6666666666667,14.3333333333333,15.3333333333333,19.6666666666667,5.66666666666667,5,3,3.33333333333333,1,0.777777777777778,1,0.634545122396785,0.731481481481482,0.515993265993266,0.387820512820513,0.365454877603215,0.268518518518519,0.484006734006734,0.612179487179487
Palermo,10,12,3.33333333333333,3.33333333333333,18.3333333333333,10,6.66666666666667,4,0.333333333333333,0.666666666666667,1.33333333333333,2,13,15.3333333333333,14.3333333333333,16.6666666666667,6.66666666666667,4.33333333333333,5.33333333333333,5.33333333333333,0.111111111111111,0.111111111111111,0.0833333333333333,0.327580727180269,0.318019943019943,0.541348843122298,0.448148148148148,0.67241927281973,0.681980056980057,0.458651156877701,0.551851851851852
Sampdoria,17,11.6666666666667,5,5.66666666666667,12,15.3333333333333,3,5.66666666666667,0.666666666666667,1.66666666666667,0.333333333333333,0.666666666666667,14.6666666666667,16.3333333333333,16.3333333333333,12.3333333333333,8,3,7.66666666666667,7.66666666666667,0.444444444444444,0.555555555555556,0.416666666666667,0.574248120300752,0.631868131868132,0.436666666666667,0.5,0.425751879699248,0.368131868131868,0.563333333333333,0.5
Sassuolo,14,8,4,5,10.3333333333333,14,4,3.66666666666667,2,1.66666666666667,1,0.666666666666667,15.3333333333333,18,15.6666666666667,12.3333333333333,5,3.33333333333333,5.66666666666667,6.66666666666667,0.777777777777778,0.666666666666667,0.583333333333333,0.578663049427667,0.443602693602694,0.367391304347826,0.587962962962963,0.421336950572333,0.556397306397306,0.632608695652174,0.412037037037037
Bologna,11.3333333333333,10.6666666666667,2,2.66666666666667,6.66666666666667,12.6666666666667,1,4.66666666666667,0,0.333333333333333,0.333333333333333,1.33333333333333,16.3333333333333,13.3333333333333,14,14.6666666666667,7.66666666666667,5.33333333333333,6.33333333333333,8.66666666666667,0.222222222222222,0.111111111111111,0.0833333333333333,0.625294190511582,0.722222222222222,0.453502415458937,0.342592592592593,0.374705809488418,0.277777777777778,0.546497584541063,0.657407407407407
Milan,17.6666666666667,11.6666666666667,4.33333333333333,3,9,15.3333333333333,2.66666666666667,4.33333333333333,1.33333333333333,0.333333333333333,0.666666666666667,1.33333333333333,10.6666666666667,13,17,19,7.33333333333333,6.33333333333333,4.66666666666667,6.33333333333333,0.777777777777778,0.111111111111111,0.166666666666667,0.663218390804598,0.615079365079365,0.442354580285615,0.383597883597884,0.336781609195402,0.384920634920635,0.557645419714385,0.616402116402116
