Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HC,AC,OC,HCC,ACC,OCC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,OTSR,OTSTR
Malaga,13.33,9,12.25,5.33,3,4.5,7.33,13,7.75,2.67,4.33,2.25,0.67,1.33,0.5,1,1,0.75,-0.33,0.33,-0.25,6.67,5.33,6.25,3.33,6.67,3.75,0.22,0.56,0.25,0.65,0.68,0.4,0.46,0.61,0.68
Ath Madrid,14,8.67,12.25,7.33,2.67,5.5,8.33,11.33,10.25,2.33,4,3.5,3.67,1.67,3,0.33,1,0.5,3.33,0.67,2.5,6.33,3.67,4.5,2.67,5.33,4,1,0.67,1,0.61,0.83,0.41,0.38,0.53,0.65
Espanol,11.33,8.33,8.25,4.33,1.67,2.25,10.33,10.33,10,3.33,3.33,3.75,1.33,1,1,1.67,1.33,1.75,-0.33,-0.33,-0.75,3.67,5,3,3,3.67,4,0.44,0.22,0.17,0.56,0.59,0.44,0.39,0.48,0.41
La Coruna,16.67,6,11.75,5.33,3,4.25,13,12,13.25,5.67,4,5.25,1,0.67,0.75,4,1.67,3.25,-3,-1,-2.5,5,0.33,3.25,2.33,10.33,6.75,0.33,0.22,0.17,0.58,0.55,0.34,0.46,0.45,0.49
Vallecano,14,15,13.25,5.33,4.67,5.25,9,12.33,11.5,2,4.33,4,1.67,1,1.25,0.67,1.33,0.75,1,-0.33,0.5,7,8,6.25,3,4.33,4,0.78,0.22,0.58,0.62,0.73,0.54,0.54,0.54,0.58
Ath Bilbao,11.33,10,10,4.67,4.33,4.25,9.67,12.67,11.5,2.67,5,3.75,0.67,1.33,0.75,0.67,0.67,0.5,0,0.67,0.25,6.33,1.33,5.25,3.33,5.67,4.5,0.44,0.67,0.58,0.54,0.57,0.46,0.51,0.47,0.5
Betis,14.33,6.67,11,4.33,3.33,4.25,9.33,18.33,13,2.67,8.67,5,0.67,1,1,0.33,3,1.5,0.33,-2,-0.5,5,5,4.75,4.33,7.33,5.75,0.67,0.11,0.58,0.6,0.63,0.26,0.28,0.47,0.53
Levante,13.67,9.67,11.75,4.67,2.33,3,9,12.33,10.75,1.33,3.67,2.75,1,0.67,0.75,0.33,1.33,1,0.67,-0.67,-0.25,5.33,2.33,3,4,5.33,4.5,0.78,0.11,0.33,0.61,0.77,0.45,0.41,0.52,0.55
Sp Gijon,11.67,10.67,11.5,2.33,2.33,1.75,13,13,15.25,4.67,3.67,5.25,1.33,0.33,0.75,1,0.67,0.75,0.33,-0.33,0,6.33,6.67,7,5.33,3.33,5.25,0.67,0.22,0.42,0.51,0.41,0.45,0.37,0.43,0.25
Granada,9.33,10,10,1.33,2,1.25,13.67,8.67,11.75,3.33,2.67,3,1,0.33,0.75,1,2,1.5,0,-1.67,-0.75,4.33,2.33,3.5,8.33,7.67,8.5,0.33,0.11,0.25,0.43,0.31,0.54,0.39,0.49,0.31
Villarreal,13.67,6.33,8,3.67,2.67,2.75,13.67,14.67,15,4,5,4.5,1.33,1,1.25,1,2,1.5,0.33,-1,-0.25,6,2.33,3.75,3.67,6.33,6,0.44,0.33,0.5,0.5,0.47,0.31,0.36,0.35,0.39
Barcelona,17.33,15.67,17,6.33,7.33,6.5,9,12,10.5,3,4,3.5,2.67,3.33,2.5,1.33,1,1.25,1.33,2.33,1.25,5.33,5,5.5,2.67,5,4,0.33,0.44,0.25,0.66,0.67,0.59,0.67,0.63,0.66
Celta,11.33,11,11.75,2.67,4,3.25,10.33,10.33,8.25,4.33,3,3,1,1.33,1,0.67,0.33,0.75,0.33,1,0.25,9.33,4.67,8,2.33,4.33,3.25,0.56,0.78,0.5,0.52,0.37,0.47,0.52,0.54,0.48
Real Madrid,19.67,15.67,17,8,7,7.25,7.33,13.67,10,2.67,4.67,3,3.67,3,3.5,0,1,0.5,3.67,2,3,8.33,4.67,6.5,5.33,5,4.25,1,1,1,0.72,0.75,0.53,0.58,0.63,0.71
Sociedad,11,10.33,8.5,2.33,4,2.5,11.67,10.33,12.25,5.33,3.67,5.75,0.67,1,1,0.67,1.33,1,0,-0.33,0,8.67,2,4.75,5.67,5,6,0.44,0.33,0.5,0.47,0.31,0.5,0.54,0.4,0.3
Eibar,8.67,12.67,9.25,2.33,3.33,2.75,8,10,9.25,5,5.33,5,1,0.33,0.75,2.33,3,2.75,-1.33,-2.67,-2,4,4.33,4,1.67,5,3.75,0.33,0.11,0.25,0.52,0.31,0.54,0.37,0.51,0.36
