Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HTSR,ATSR,HTSTR,ATSTR,HTSCR,ATSCR,HTSTCR,ATSTCR,HF,AF,HFC,AFC,HC,AC,HCC,ACC,HCD,ACD,HCDC,ACDC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,PTR.O,PTR.H,PTR.A
Bayern Munich,22.4285714285714,15.6428571428571,10.1428571428571,5.35714285714286,5.71428571428571,7.28571428571429,2.28571428571429,2.42857142857143,3.14285714285714,1.57142857142857,0.428571428571429,0.5,0.784957303327728,0.67118250776819,0.815060732917876,0.663832199546485,0.215042696672272,0.32881749223181,0.184939267082124,0.336167800453515,11.2142857142857,10.4285714285714,12.0714285714286,13.1428571428571,8.35714285714286,5.5,1.78571428571429,2.64285714285714,1.28571428571429,1.07142857142857,1.78571428571429,1.28571428571429,72,39,33,14,14,0.857142857142857,0.928571428571429,0.785714285714286
Augsburg,16.1428571428571,11.6428571428571,4.85714285714286,4.21428571428571,14.5,17.8571428571429,5,6.35714285714286,1.14285714285714,1.35714285714286,1.71428571428571,1.64285714285714,0.50895151559627,0.390096423115976,0.479504225932797,0.407457225314368,0.49104848440373,0.609903576884024,0.520495774067203,0.592542774685632,14.8571428571429,16.7857142857143,13.0714285714286,13.7142857142857,4.5,3.64285714285714,4.35714285714286,6.21428571428571,1.92857142857143,2.57142857142857,2.35714285714286,1.5,27,11,16,14,14,0.321428571428571,0.261904761904762,0.380952380952381
Darmstadt,9.71428571428571,10.9285714285714,3.21428571428571,3.78571428571429,13.1428571428571,17.3571428571429,4.64285714285714,4.85714285714286,0.857142857142857,1.28571428571429,1.78571428571429,1.28571428571429,0.420651232759332,0.386635271758935,0.399118738404453,0.453955370026799,0.579348767240668,0.613364728241064,0.600881261595547,0.546044629973201,15.0714285714286,17.3571428571429,16.4285714285714,16,3.5,3.64285714285714,5.14285714285714,6.85714285714286,2.64285714285714,2.64285714285714,1.57142857142857,1.92857142857143,29,9,20,14,14,0.345238095238095,0.214285714285714,0.476190476190476
Dortmund,17.7142857142857,13.5,7.57142857142857,5,6.64285714285714,9.64285714285714,2.64285714285714,4,2.78571428571429,2,0.785714285714286,1.21428571428571,0.730104666704659,0.590654282712553,0.732259407259407,0.563518426018426,0.269895333295341,0.409345717287447,0.267740592740593,0.436481573981574,11.0714285714286,12.8571428571429,12.1428571428571,14.6428571428571,6.78571428571429,4.21428571428571,2.85714285714286,4,0.857142857142857,1.21428571428571,1.64285714285714,2.21428571428571,67,38,29,14,14,0.797619047619048,0.904761904761905,0.69047619047619
Leverkusen,15.5,13.0714285714286,5.28571428571429,5.07142857142857,8.14285714285714,11.2142857142857,3.21428571428571,4.35714285714286,1.64285714285714,1.35714285714286,1,1.35714285714286,0.649105196557775,0.541459576355259,0.632194392908679,0.533196565339423,0.350894803442225,0.458540423644741,0.367805607091321,0.466803434660577,14.5,17.0714285714286,15.0714285714286,15.0714285714286,7.64285714285714,6,4.42857142857143,3.42857142857143,1.78571428571429,2.14285714285714,1.85714285714286,2.14285714285714,45,24,21,14,14,0.535714285714286,0.571428571428571,0.5
Mainz,12.2857142857143,9.35714285714286,4.64285714285714,3.35714285714286,13.2857142857143,15.6428571428571,4.64285714285714,5.5,1.5,1.28571428571429,1.07142857142857,1.42857142857143,0.473328581672351,0.377444028371949,0.520070603999175,0.3621336996337,0.526671418327649,0.622555971628051,0.479929396000825,0.6378663003663,15.8571428571429,15,15.2857142857143,13.6428571428571,4.85714285714286,2.85714285714286,4.71428571428571,5.57142857142857,1.5,1.5,2.07142857142857,1.42857142857143,44,26,18,14,14,0.523809523809524,0.619047619047619,0.428571428571429
Werder Bremen,13.3076923076923,11.8666666666667,4.30769230769231,3.93333333333333,12.3076923076923,15.2666666666667,4.46153846153846,6.13333333333333,1.23076923076923,1.46666666666667,1.84615384615385,2.2,0.512813650660246,0.436643048906773,0.463752913752914,0.409272949272949,0.487186349339754,0.563356951093227,0.536247086247086,0.590727050727051,16.0769230769231,14.6,16.3846153846154,14.4,4.30769230769231,3.66666666666667,4.69230769230769,6.6,2.23076923076923,2.4,2.23076923076923,1.6,28,11,17,13,15,0.333333333333333,0.282051282051282,0.377777777777778
Stuttgart,18.2857142857143,12.9285714285714,6.57142857142857,5.42857142857143,11.3571428571429,15.1428571428571,5.35714285714286,6.07142857142857,1.42857142857143,1.78571428571429,1.64285714285714,2.35714285714286,0.612519731833003,0.472318625361834,0.544199154020583,0.461250158571587,0.387480268166997,0.527681374638166,0.455800845979417,0.538749841428413,14.6428571428571,16,13.7857142857143,12.7142857142857,7.92857142857143,5.35714285714286,3.57142857142857,4.35714285714286,2.57142857142857,1.85714285714286,2.14285714285714,1.78571428571429,33,19,14,14,14,0.392857142857143,0.452380952380952,0.333333333333333
Wolfsburg,14.9285714285714,14.5,6.35714285714286,5.35714285714286,10.9285714285714,10.6428571428571,3.64285714285714,4.5,2,0.785714285714286,0.928571428571429,1.71428571428571,0.563284935601131,0.570479848558666,0.630812639741211,0.522990524881281,0.436715064398869,0.429520151441334,0.369187360258789,0.477009475118719,13.3571428571429,14.7142857142857,13.6428571428571,13.3571428571429,5.85714285714286,3.92857142857143,3.92857142857143,3.42857142857143,1.35714285714286,2.07142857142857,1.64285714285714,1.85714285714286,38,28,10,14,14,0.452380952380952,0.666666666666667,0.238095238095238
Hertha,10.4285714285714,8.28571428571429,4.21428571428571,3.35714285714286,10,15.3571428571429,3.28571428571429,4.92857142857143,1.5,1.14285714285714,0.642857142857143,1.64285714285714,0.492620987523879,0.351321432248319,0.536579690151119,0.415731292517007,0.507379012476122,0.648678567751681,0.39199173842031,0.584268707482993,15.0714285714286,12.6428571428571,15.9285714285714,15.5,4.57142857142857,3.57142857142857,3.57142857142857,6,1.35714285714286,2.42857142857143,1.78571428571429,2.07142857142857,48,31,17,14,14,0.571428571428571,0.738095238095238,0.404761904761905
Ein Frankfurt,12.5,10.1428571428571,4.14285714285714,3.92857142857143,13.2142857142857,12.8571428571429,5.42857142857143,5.57142857142857,1.35714285714286,0.714285714285714,1.5,1.64285714285714,0.483955601189154,0.439335345957784,0.448665299453115,0.423701298701299,0.516044398810846,0.560664654042216,0.551334700546885,0.576298701298701,14.5714285714286,14.5714285714286,16.8571428571429,13.5714285714286,5.57142857142857,3.78571428571429,3.85714285714286,4.57142857142857,2.57142857142857,2.92857142857143,2.42857142857143,1.71428571428571,27,18,9,14,14,0.321428571428571,0.428571428571429,0.214285714285714
