Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HTSR,ATSR,OTSR,HTSTR,ATSTR,OTSTR,HC,AC,OC,HCC,ACC,OCC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,NALL,AWRatio,ADRatio,HWRatio,HDRatio,OWRatio,ODRatio,PTR.O,PTR.H,PTR.A
Bournemouth,12.82,11.59,24.41,4.41,3.47,7.88,10,12.59,22.59,3.94,4.06,8,1.24,1.18,2.41,1.71,1.65,3.35,-0.47,-0.47,-0.94,0.57,0.47,1.04,0.55,0.46,1.02,6.71,5.06,11.76,3.94,4.82,8.76,41,19,22,17,17,17,0.35,0.24,0.29,0.24,0.65,0.47,0.4,0.37,0.43
Chelsea,16,11.62,26.94,4.94,3.81,8.53,12.24,11.5,23.06,4.94,4.25,8.94,1.71,1.25,2.88,1.59,1.12,2.65,0.12,0.12,0.24,0.56,0.5,1.03,0.51,0.49,0.96,6.65,6.25,12.53,5.47,4.94,10.12,44,22,22,17,16,17,0.38,0.25,0.29,0.41,0.65,0.65,0.44,0.43,0.46
Everton,14.82,11,25.82,4.76,4.12,8.88,12.24,15.94,28.18,4.65,5.06,9.71,1.76,1.35,3.12,1.71,1.12,2.82,0.06,0.24,0.29,0.54,0.42,0.96,0.49,0.46,0.95,6.88,5,11.88,4.76,6.65,11.41,41,17,24,17,17,17,0.29,0.53,0.24,0.29,0.53,0.82,0.4,0.33,0.47
Leicester,13.29,12.65,25.94,4.24,4.94,9.18,12.53,14.53,27.06,3.71,3.76,7.47,1.65,1.82,3.47,1,0.94,1.94,0.65,0.88,1.53,0.52,0.47,0.99,0.56,0.57,1.13,4.41,5.59,10,5.53,7.18,12.71,73,36,37,17,17,17,0.65,0.24,0.59,0.35,1.24,0.59,0.72,0.71,0.73
Man United,12.65,9.65,22.29,3.76,3.76,7.53,8.06,13.24,21.29,2.24,4.35,6.59,1.35,1.12,2.47,0.41,1.35,1.76,0.94,-0.24,0.71,0.6,0.43,1.04,0.6,0.45,1.05,6.12,6.06,12.18,3.18,4.53,7.71,59,37,22,17,17,17,0.35,0.24,0.65,0.24,1,0.47,0.58,0.73,0.43
Norwich,12.12,9.53,21.65,3.53,3.12,6.65,10.88,14.65,25.53,3.76,5.18,8.94,1.29,0.76,2.06,1.59,1.94,3.53,-0.29,-1.18,-1.47,0.52,0.39,0.91,0.47,0.41,0.88,6,3.88,9.88,4.59,6.24,10.82,31,20,11,17,17,17,0.18,0.12,0.29,0.29,0.47,0.41,0.3,0.39,0.22
Arsenal,17.31,13.18,31.31,6.12,5.06,11.5,11.12,13.12,25.06,4.19,4.29,8.75,1.5,1.88,3.5,0.69,1.35,2.12,0.81,0.53,1.38,0.6,0.52,1.15,0.57,0.57,1.17,7.5,4.94,12.75,4.31,5,9.62,60,31,29,16,17,16,0.47,0.29,0.56,0.25,1.06,0.56,0.61,0.65,0.57
Newcastle,11.71,9.12,20.82,4.53,3.24,7.76,13.53,16.65,30.18,4.35,5.41,9.76,1.53,0.59,2.12,1.35,2.29,3.65,0.18,-1.71,-1.53,0.45,0.35,0.8,0.5,0.39,0.89,4.12,4.24,8.35,5.65,7.35,13,29,22,7,17,17,17,0.12,0.06,0.29,0.41,0.41,0.47,0.28,0.43,0.14
Stoke,11.82,10.18,22,3.35,3.59,6.94,11.47,16.24,27.71,3.94,5.18,9.12,1.12,1.06,2.18,1.29,1.47,2.76,-0.18,-0.41,-0.59,0.51,0.39,0.9,0.45,0.42,0.87,4.82,3.41,8.24,4.88,7.41,12.29,47,24,23,17,17,17,0.35,0.29,0.41,0.18,0.76,0.47,0.46,0.47,0.45
West Brom,11.12,8.19,18.82,3.24,2.31,5.41,12.24,17.31,28.53,3.59,4.94,8.24,1.12,0.75,1.82,1.29,1.12,2.35,-0.18,-0.38,-0.53,0.47,0.34,0.78,0.43,0.29,0.7,5.41,4.06,9.24,5.41,6.44,11.47,40,22,18,17,16,17,0.25,0.38,0.35,0.24,0.59,0.59,0.4,0.43,0.38
