Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HTSR,ATSR,HTSTR,ATSTR,HTSCR,ATSCR,HTSTCR,ATSTCR,HF,AF,HFC,AFC,HC,AC,HCC,ACC,HCD,ACD,HCDC,ACDC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,PTR.O,PTR.H,PTR.A
Bournemouth,12.5,11.5625,4.375,3.5,9.4375,13,3.8125,4.25,1.25,1.125,1.6875,1.6875,0.570493854474833,0.462960819148034,0.56006268037518,0.444410624098124,0.429506145525167,0.537039180851966,0.43993731962482,0.555589375901876,9.375,10,12.375,9.8125,6.8125,4.875,3.9375,4.9375,1.375,1.625,1.5,1.75,38,19,19,16,16,0.395833333333333,0.395833333333333,0.395833333333333
Chelsea,16.3125,11.8666666666667,5,3.93333333333333,12.3125,11.4666666666667,4.75,4.13333333333333,1.8125,1.33333333333333,1.5,1.13333333333333,0.565096566272388,0.503887948170807,0.517216637529138,0.501770081770082,0.434903433727612,0.496112051829193,0.482783362470862,0.498229918229918,11.4375,10.8,12.875,13.0666666666667,6.375,6.06666666666667,5.625,5.2,1.5,1.8,2.875,2.73333333333333,44,22,22,16,15,0.473118279569892,0.458333333333333,0.488888888888889
Everton,15.3125,11.6428571428571,4.9375,4.14285714285714,11.875,14.5,4.6875,4.42857142857143,1.8125,1.57142857142857,1.75,1,0.555891003704169,0.448198405965751,0.502814230295848,0.482890125747269,0.444108996295831,0.551801594034249,0.497185769704152,0.517109874252731,7.9375,8.57142857142857,11.8125,11.1428571428571,7.125,5.07142857142857,4.4375,6.21428571428571,1.375,1.21428571428571,2,1.78571428571429,38,16,22,16,14,0.422222222222222,0.333333333333333,0.523809523809524
Leicester,13.75,12.375,4.375,4.8125,12.125,14.5,3.6875,3.9375,1.625,1.8125,0.9375,1,0.54040942355951,0.46254508768545,0.577881703457361,0.5479823995449,0.45959057644049,0.53745491231455,0.422118296542639,0.4520176004551,9.125,12.1875,10.375,8.875,4.6875,5.5,5.5625,7.5625,0.9375,1.9375,1.625,1.875,69,35,34,16,16,0.71875,0.729166666666667,0.708333333333333
Man United,12.4,9.9375,3.33333333333333,3.9375,8.33333333333333,13.0625,2.46666666666667,4.125,1.33333333333333,1.1875,0.466666666666667,1.25,0.588133623819898,0.445590050637528,0.562106782106782,0.473768939393939,0.411866376180102,0.554409949362472,0.437893217893218,0.526231060606061,12.2,12.75,11.4666666666667,8.75,5.33333333333333,6,3.26666666666667,4.6875,1.6,1.9375,1.8,1.3125,53,31,22,15,16,0.56989247311828,0.688888888888889,0.458333333333333
Norwich,11.6875,9.3125,3.375,3.0625,11.0625,14.75,3.8125,5.125,1.375,0.8125,1.5,2,0.508948749419792,0.386268793052315,0.458398372460872,0.414405039405039,0.491051250580208,0.613731206947685,0.541601627539128,0.585594960594961,10.9375,11.75,9.5625,7.0625,5.5,3.875,4.875,6,1.5,2.125,1.375,0.875,31,20,11,16,16,0.322916666666667,0.416666666666667,0.229166666666667
Arsenal,17.0666666666667,13.3125,6.13333333333333,5,11.4,12.75,4.33333333333333,4.125,1.53333333333333,1.8125,0.666666666666667,1.25,0.590212306416272,0.528977144866225,0.562971472971473,0.571469986519329,0.409787693583728,0.471022855133775,0.437028527028527,0.428530013480671,8.6,9.625,12.6666666666667,11.3125,7.33333333333333,5,4.26666666666667,4.875,1.33333333333333,1.0625,1.93333333333333,1.8125,58,30,28,15,16,0.623655913978495,0.666666666666667,0.583333333333333
Newcastle,12.1333333333333,9.375,4.46666666666667,3.25,14,16.4375,4.53333333333333,5.375,1.46666666666667,0.5625,1.46666666666667,2.25,0.455551709304752,0.357717485213057,0.488672623672624,0.388694985569986,0.544448290695248,0.642282514786943,0.511327376327376,0.611305014430015,10.5333333333333,10.9375,10.9333333333333,10,4.13333333333333,4.375,5.73333333333333,7.125,2,1.375,2,1.1875,25,18,7,15,16,0.268817204301075,0.4,0.145833333333333
Stoke,11.8125,10.1875,3.4375,3.625,10.75,16.375,3.8125,5.125,1.1875,1.0625,1.125,1.3125,0.525409863213425,0.383349160774757,0.466603535353535,0.426041666666667,0.474590136786575,0.616650839225243,0.533396464646465,0.573958333333333,9.5625,12.0625,11.8125,9.125,4.8125,3.4375,5,7.5,1.1875,1.5,1.625,1.6875,47,24,23,16,16,0.489583333333333,0.5,0.479166666666667
West Brom,10.8125,7.86666666666667,3.1875,2.33333333333333,12.3125,17.6,3.5625,5,1.1875,0.733333333333333,1.3125,1.06666666666667,0.458512198786316,0.324522280961752,0.421669823232323,0.289285714285714,0.541487801213684,0.675477719038248,0.578330176767677,0.710714285714286,9.5,10.8,11.0625,10.6666666666667,5.1875,3.8,5.5625,6.33333333333333,1.5,2.33333333333333,1.4375,1.13333333333333,40,22,18,16,15,0.43010752688172,0.458333333333333,0.4
Aston Villa,11.375,8.9375,3.375,2.75,11.1875,14.75,4.9375,5.125,0.6875,0.6875,1.8125,2.0625,0.484829334268672,0.393326986331471,0.392261904761905,0.387540584415584,0.515170665731328,0.606673013668529,0.607738095238095,0.612459415584416,10.3125,13.1875,10,9.25,5.3125,3.875,5.9375,5.4375,1.9375,2.25,1.5,1.375,16,10,6,16,16,0.166666666666667,0.208333333333333,0.125
Southampton,14.625,11.75,4.75,3.875,12.5,11.875,3.5,3.5625,1.75,0.8125,1.125,0.9375,0.545276643844583,0.497747336198423,0.579648823398823,0.564828431372549,0.454723356155417,0.502252663801577,0.420351176601177,0.435171568627451,10.3125,11.5625,10.25,9.8125,5.8125,5.4375,4.75,6.3125,1.6875,1.8125,1.125,1,47,27,20,16,16,0.489583333333333,0.5625,0.416666666666667
Sunderland,12.8,10.1875,3.73333333333333,3.6875,13.3333333333333,15.9375,4.86666666666667,6.375,1.13333333333333,1.1875,1.06666666666667,2.4375,0.496695536126909,0.396276314168827,0.44498556998557,0.378748304391687,0.503304463873091,0.603723685831173,0.55501443001443,0.621251695608313,8.6,11.75,11.3333333333333,10.5625,5.53333333333333,3.0625,5.73333333333333,6,1.46666666666667,1.875,2.33333333333333,1.6875,27,17,10,15,16,0.290322580645161,0.377777777777778,0.208333333333333
Swansea,12.125,11.3125,2.875,4.125,12,14.9375,3.6875,4.8125,0.9375,1.125,1.125,1.5,0.502803962281917,0.436661831050776,0.455225503663004,0.434226363913864,0.497196037718083,0.563338168949224,0.544774496336996,0.565773636086136,8.875,12,12.375,11.625,4.25,4.375,4.625,5.1875,1.75,1.5,2.25,1.75,37,23,14,16,16,0.385416666666667,0.479166666666667,0.291666666666667
Tottenham,19.75,14.625,8.0625,5.5625,9.8125,11.8125,3.1875,2.9375,1.875,1.6875,0.75,0.8125,0.670351593717053,0.542643377882932,0.727846459096459,0.640235805860806,0.329648406282947,0.457356622117068,0.272153540903541,0.359764194139194,11.875,12.375,10.625,10.375,7.5625,5.8125,4.375,5,1.6875,1.9375,1.8125,1.4375,62,32,30,16,16,0.645833333333333,0.666666666666667,0.625
Watford,12.375,10.0666666666667,3.5625,2.93333333333333,11.4375,14.6666666666667,3.8125,5.2,0.875,1.06666666666667,0.875,1.46666666666667,0.518611569838202,0.407828824143719,0.468819895382395,0.384153439153439,0.481388430161798,0.592171175856281,0.531180104617605,0.615846560846561,10.75,12.6,12.625,8.33333333333333,4.5625,3.8,5.0625,8.2,2.1875,1.73333333333333,1.5,1.06666666666667,37,19,18,16,15,0.397849462365591,0.395833333333333,0.4
West Ham,15.3333333333333,12.3125,5.2,4,12.6666666666667,16.3125,4,4.9375,1.6,1.5625,1.06666666666667,1.3125,0.54578097826191,0.443416011072261,0.557748917748918,0.498799290986791,0.454219021738091,0.556583988927739,0.442251082251082,0.501200709013209,9.8,10.125,12.3333333333333,12.1875,5.6,5.5625,5,6.125,1.13333333333333,2.125,2,2,51,27,24,15,16,0.548387096774194,0.6,0.5
Crystal Palace,12.9375,11.6,4.5625,3.6,12.875,17.6,4.0625,4.66666666666667,1,1.2,1.375,1.33333333333333,0.521508233403395,0.403415265080101,0.530580357142857,0.414254819254819,0.478491766596605,0.596584734919899,0.469419642857143,0.585745180745181,11.6875,13.6,13.6875,10.4,6.375,4.86666666666667,5.1875,6.6,1.8125,1.46666666666667,2.125,1.6,34,14,20,16,15,0.365591397849462,0.291666666666667,0.444444444444444
Man City,19.3125,14.7333333333333,6.375,4.8,8.25,9.2,3.75,2.93333333333333,2.4375,1.13333333333333,1.125,0.933333333333333,0.700971932529218,0.600974996454914,0.637275194168577,0.64543771043771,0.299028067470782,0.399025003545086,0.362724805831423,0.35456228956229,10.1875,10.7333333333333,11.1875,10.4666666666667,8.1875,6,3.625,4.33333333333333,1.4375,1.8,1.6875,1.46666666666667,54,31,23,16,15,0.580645161290323,0.645833333333333,0.511111111111111
Liverpool,18.4285714285714,13.9375,5.07142857142857,5.1875,9.14285714285714,10.875,2.85714285714286,3.875,1.42857142857143,1.625,1.28571428571429,1.4375,0.667414241030125,0.570052854538361,0.634766027623171,0.568917887667888,0.332585758969875,0.429947145461639,0.36523397237683,0.431082112332112,9.21428571428571,12.875,11.2857142857143,8.4375,7.64285714285714,6.6875,4.85714285714286,4.5,1.28571428571429,2.25,1.21428571428571,1.25,45,21,24,14,16,0.5,0.5,0.5
