Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HTSR,ATSR,OTSR,HTSTR,ATSTR,OTSTR,HC,AC,OC,HCC,ACC,OCC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,NALL,AWRatio,ADRatio,HWRatio,HDRatio,OWRatio,ODRatio,PTR.O,PTR.H,PTR.A
Lazio,15.12,11.35,26.47,4.35,3.06,7.41,9.29,11.12,20.41,3.88,3.65,7.53,1.65,0.94,2.59,1.12,1.53,2.65,0.53,-0.59,-0.06,0.61,0.52,1.12,0.49,0.51,1,7.12,5.76,12.88,3.82,4.76,8.59,48,30,18,17,17,17,0.24,0.35,0.53,0.18,0.76,0.53,0.47,0.59,0.35
Verona,12.06,10.35,22.41,4.24,2.82,7.06,13.59,14.71,28.29,4.65,5.18,9.82,1,0.65,1.65,1.65,1.71,3.35,-0.65,-1.06,-1.71,0.45,0.41,0.86,0.45,0.34,0.79,6.24,4.35,10.59,5.12,7,12.12,22,12,10,17,17,17,0.06,0.41,0.12,0.35,0.18,0.76,0.22,0.24,0.2
Empoli,13.88,12,25.88,4.06,4.12,8.18,13.29,14.24,27.53,3.71,4.82,8.53,1.18,1,2.18,1.12,1.53,2.65,0.06,-0.53,-0.47,0.5,0.46,0.97,0.52,0.46,0.98,5.47,3.65,9.12,4.41,6,10.41,42,23,19,17,17,17,0.29,0.24,0.35,0.29,0.65,0.53,0.41,0.45,0.37
Fiorentina,16.24,12.82,29.06,5.47,3.88,9.35,8.06,10,18.06,2.18,3.76,5.94,1.94,1.29,3.24,0.82,1.41,2.24,1.12,-0.12,1,0.66,0.57,1.23,0.72,0.51,1.23,6.76,4.18,10.94,3,4.35,7.35,59,37,22,17,17,17,0.35,0.24,0.65,0.24,1,0.47,0.58,0.73,0.43
Frosinone,13.53,12,25.53,3.53,2.94,6.47,17.41,22.88,40.29,4.82,6.82,11.65,1.06,0.82,1.88,1.35,2.53,3.88,-0.29,-1.71,-2,0.44,0.35,0.79,0.44,0.31,0.74,4.82,4.41,9.24,6.29,8.12,14.41,30,22,8,17,17,17,0.12,0.12,0.35,0.24,0.47,0.35,0.29,0.43,0.16
Inter,14,12.65,26.65,4.47,3.94,8.41,11,13.82,24.82,3.35,4.82,8.18,1.41,1.18,2.59,0.76,1.06,1.82,0.65,0.12,0.76,0.55,0.47,1.03,0.58,0.45,1.02,7.18,5.47,12.65,4.82,5.76,10.59,61,35,26,17,17,17,0.41,0.29,0.65,0.12,1.06,0.41,0.6,0.69,0.51
Juventus,17.82,13.59,31.41,6.65,4.65,11.29,7.12,9.88,17,1.94,2.88,4.82,1.76,2.06,3.82,0.35,0.65,1,1.41,1.41,2.82,0.71,0.57,1.27,0.77,0.59,1.36,5.88,5,10.88,2.53,3.06,5.59,82,44,38,17,17,17,0.71,0.12,0.82,0.12,1.53,0.24,0.8,0.86,0.75
Palermo,12.76,9.94,22.71,3.65,3,6.65,14.71,17.29,32,5.47,5.41,10.88,1.12,0.71,1.82,1.65,2.06,3.71,-0.53,-1.35,-1.88,0.46,0.38,0.84,0.39,0.36,0.75,5.53,3.41,8.94,5.35,6.53,11.88,29,16,13,17,17,17,0.18,0.24,0.24,0.24,0.41,0.47,0.28,0.31,0.25
Sampdoria,11.53,11.41,22.94,4.24,3.82,8.06,15.59,15.35,30.94,5.06,5.53,10.59,1.59,1.12,2.71,1.24,1.71,2.94,0.35,-0.59,-0.24,0.42,0.44,0.86,0.48,0.41,0.89,5.35,3.88,9.24,7.65,6.41,14.06,37,25,12,17,17,17,0.12,0.35,0.41,0.24,0.53,0.59,0.36,0.49,0.24
Sassuolo,15.53,10.24,25.76,4.59,3.65,8.24,10.59,13.76,24.35,3.53,3.94,7.47,1.24,1.18,2.41,1.12,1.12,2.24,0.12,0.06,0.18,0.59,0.44,1.02,0.55,0.46,1.01,6.12,4.65,10.76,4.59,6.82,11.41,49,26,23,17,17,17,0.35,0.29,0.35,0.47,0.71,0.76,0.48,0.51,0.45
