Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HTSR,ATSR,HTSTR,ATSTR,HTSCR,ATSCR,HTSTCR,ATSTCR,HF,AF,HFC,AFC,HC,AC,HCC,ACC,HCD,ACD,HCDC,ACDC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,PTR.O,PTR.H,PTR.A
Lazio,14.875,11.2,4.1875,2.86666666666667,9.5,10.8666666666667,4.0625,3.2,1.625,0.866666666666667,1.1875,1.53333333333333,0.595718926056827,0.519786927429645,0.466530864968365,0.521485921485922,0.404281073943173,0.480213072570355,0.533469135031635,0.478514078514079,15.4375,17.4,13.625,13.8666666666667,7.25,6,3.9375,4.4,2.625,2.6,2.125,2.13333333333333,42,27,15,16,15,0.451612903225806,0.5625,0.333333333333333
Verona,11.9375,9.86666666666667,4.25,2.73333333333333,13.625,14.6,4.8125,5,1,0.733333333333333,1.625,1.66666666666667,0.441946398650863,0.401869493898479,0.43467920967921,0.34995670995671,0.558053601349137,0.598130506101521,0.56532079032079,0.65004329004329,15.875,14.8666666666667,14.4375,16.1333333333333,6.375,4.13333333333333,5.125,7.13333333333333,2.375,2.6,2.5,2.13333333333333,22,12,10,16,15,0.236559139784946,0.25,0.222222222222222
Empoli,14.4666666666667,12.375,3.86666666666667,4.3125,12.2666666666667,13.9375,3.46666666666667,4.6875,1.13333333333333,1.0625,1.26666666666667,1.5,0.530947155201028,0.476431038822914,0.524141414141414,0.484115710678211,0.469052844798972,0.523568961177086,0.475858585858586,0.515884289321789,12.8666666666667,14.375,19.2666666666667,19.625,5.73333333333333,3.75,4.26666666666667,6.0625,2.06666666666667,3.3125,3.06666666666667,2.625,36,17,19,15,16,0.387096774193548,0.377777777777778,0.395833333333333
Fiorentina,16.4375,12.4666666666667,5.5625,3.86666666666667,8,10.2,2.25,3.8,1.875,1.4,0.8125,1.33333333333333,0.662193468543583,0.560771900947698,0.711282814407814,0.509370999370999,0.337806531456417,0.439228099052302,0.288717185592186,0.490629000629001,13.75,14.4,16.625,16.8666666666667,6.75,4.06666666666667,2.8125,4.4,2,3.06666666666667,3.1875,3,56,34,22,16,15,0.602150537634409,0.708333333333333,0.488888888888889
Frosinone,13.4375,12.1333333333333,3.625,3.06666666666667,17.25,23.4666666666667,4.9375,6.93333333333333,1.125,0.733333333333333,1.375,2.46666666666667,0.441051448316271,0.348670986477438,0.437736568986569,0.312967772967773,0.558948551683729,0.651329013522562,0.562263431013431,0.687032227032227,17.0625,15.7333333333333,15.8125,14.8666666666667,4.875,4.6,6.3125,8.53333333333333,2.5625,2.8,3.1875,2.2,27,22,5,16,15,0.290322580645161,0.458333333333333,0.111111111111111
Inter,14.1875,11.8666666666667,4.5,4,11.0625,13.6,3.4375,5,1.375,1.26666666666667,0.8125,1.13333333333333,0.555732054606919,0.464889604535993,0.573453282828283,0.435755540755541,0.444267945393081,0.535110395464007,0.426546717171717,0.564244459244459,13.75,13.2666666666667,14.875,13.0666666666667,7.25,5.46666666666667,4.75,5.86666666666667,2.6875,2.66666666666667,3,2.73333333333333,55,32,23,16,15,0.591397849462366,0.666666666666667,0.511111111111111
Juventus,17.8666666666667,13.875,6.33333333333333,4.6875,6.93333333333333,9.8125,1.86666666666667,2.75,1.53333333333333,2.0625,0.4,0.625,0.709630605367604,0.572907464918334,0.768109668109668,0.601181804306804,0.290369394632395,0.427092535081666,0.231890331890332,0.398818195693196,14.0666666666667,15.9375,16.0666666666667,16.9375,5.4,5.1875,2.46666666666667,3.125,2,2.8125,3.2,2.8125,73,38,35,15,16,0.78494623655914,0.844444444444444,0.729166666666667
Palermo,13,9.9375,3.8,2.9375,14.8,17.375,5.4,5.375,1.13333333333333,0.75,1.53333333333333,1.9375,0.462825638837501,0.375636674043446,0.397839785486844,0.355853001165501,0.537174361162499,0.624363325956554,0.602160214513156,0.644146998834499,15.1333333333333,16.375,14.2666666666667,15.0625,5.33333333333333,3.3125,5.46666666666667,6.375,2.66666666666667,2.625,2.53333333333333,1.875,28,15,13,15,16,0.301075268817204,0.333333333333333,0.270833333333333
Sampdoria,11.4,11.875,4.26666666666667,3.9375,15.6666666666667,14.875,5.4,5.375,1.66666666666667,1.1875,1.33333333333333,1.8125,0.419977629359106,0.456727090909992,0.463761978761979,0.423912198912199,0.580022370640895,0.543272909090008,0.536238021238021,0.576087801087801,15.5333333333333,13.6875,15.7333333333333,15.0625,5.53333333333333,4,7.4,6,2.73333333333333,2.6875,3.13333333333333,2.3125,33,22,11,15,16,0.354838709677419,0.488888888888889,0.229166666666667
Sassuolo,14.9333333333333,10.3125,4.33333333333333,3.8125,11.1333333333333,13.8125,3.6,3.9375,1.4,1.1875,1.2,1,0.564410348391414,0.436854942769485,0.531211566211566,0.474177038239538,0.435589651608586,0.563145057230515,0.468788433788434,0.525822961760462,14.6666666666667,16.5625,18.2,16.5625,5.33333333333333,4.5625,4.93333333333333,6.8125,2.53333333333333,2.625,2.73333333333333,1.9375,48,25,23,15,16,0.516129032258065,0.555555555555556,0.479166666666667
