Team,HS,AS,OS,HST,AST,OST,HSC,ASC,OSC,HSTC,ASTC,OSTC,HG,AG,OG,HGC,AGC,OGC,HGD,AGD,OGD,HTSR,ATSR,OTSR,HTSTR,ATSTR,OTSTR,HC,AC,OC,HCC,ACC,OCC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,NALL,AWRatio,ADRatio,HWRatio,HDRatio,OWRatio,ODRatio,PTR.O,PTR.H,PTR.A
Malaga,13.06,10.06,23.12,4.82,3.29,8.12,9.12,11.82,20.94,2.94,4.41,7.35,1.12,0.71,1.82,0.76,1.06,1.82,0.35,-0.35,0,0.59,0.48,1.06,0.64,0.47,1.11,5.29,4.71,10,3.71,6.29,10,42,24,18,17,17,17,0.24,0.35,0.35,0.35,0.59,0.71,0.41,0.47,0.35
Ath Madrid,14.44,10.78,26.56,4.56,4.06,9.12,7.81,11.39,20.62,1.88,3.06,5.31,1.81,1.61,3.62,0.44,0.5,1,1.38,1.11,2.62,0.64,0.49,1.19,0.73,0.59,1.39,6.38,4.5,11.44,2.88,4.33,7.75,79,39,40,16,18,16,0.72,0.06,0.75,0.19,1.56,0.25,0.77,0.81,0.74
Espanol,10.65,10,20.65,4.06,3.24,7.29,11.47,14.65,26.12,4.06,4.82,8.88,1,1.06,2.06,1.53,2.18,3.71,-0.53,-1.12,-1.65,0.48,0.4,0.87,0.48,0.39,0.87,5.12,4.71,9.82,4.94,5,9.94,37,26,11,17,17,17,0.18,0.12,0.41,0.29,0.59,0.41,0.36,0.51,0.22
La Coruna,13.94,10.12,24.06,4.76,3.71,8.47,8.65,12.76,21.41,3.24,4.82,8.06,1.47,1,2.47,1.76,1.53,3.29,-0.29,-0.53,-0.82,0.61,0.44,1.05,0.59,0.45,1.04,6.24,3.59,9.82,4.29,6.18,10.47,38,20,18,17,17,17,0.18,0.53,0.24,0.47,0.41,1,0.37,0.39,0.35
Vallecano,13.76,12,25.76,5,4.18,9.18,10.88,14,24.88,4.29,5.82,10.12,1.41,1.29,2.71,1.47,2.41,3.88,-0.06,-1.12,-1.18,0.56,0.45,1,0.54,0.44,0.98,5.35,6.18,11.53,4.76,5.41,10.18,35,25,10,17,17,17,0.06,0.41,0.41,0.24,0.47,0.65,0.34,0.49,0.2
Ath Bilbao,12.65,11.12,23.76,4.65,3.82,8.47,8.59,11.94,20.53,2.76,4.59,7.35,1.76,1.24,3,0.88,1.53,2.41,0.88,-0.29,0.59,0.6,0.49,1.1,0.6,0.47,1.07,6.53,4.18,10.71,3.76,5.71,9.47,54,31,23,17,17,17,0.41,0.12,0.53,0.24,0.94,0.35,0.53,0.61,0.45
Betis,13.29,8.41,21.71,3.76,3,6.76,10.29,16.71,27,3.76,6.35,10.12,0.88,0.94,1.82,1.18,1.53,2.71,-0.29,-0.59,-0.88,0.55,0.34,0.89,0.49,0.34,0.83,5.35,3.59,8.94,4.94,6.59,11.53,41,21,20,17,17,17,0.29,0.29,0.29,0.35,0.59,0.65,0.4,0.41,0.39
Levante,12.06,10.75,22.18,3.94,3.38,7.12,10.71,14.38,24.24,4.06,4.75,8.53,1.12,0.69,1.76,1.35,2.06,3.29,-0.24,-1.38,-1.53,0.54,0.42,0.93,0.49,0.42,0.89,5.24,3.38,8.41,4.76,5.5,9.94,28,22,6,17,16,17,0.06,0.19,0.35,0.24,0.41,0.41,0.28,0.43,0.12
Sp Gijon,12.24,7.65,19.88,4.35,1.88,6.24,13.35,14.47,27.82,5.24,5.41,10.65,1.41,0.65,2.06,1.65,1.59,3.24,-0.24,-0.94,-1.18,0.48,0.35,0.84,0.44,0.28,0.72,5.18,4.12,9.29,3.76,5.24,9,32,19,13,17,17,17,0.18,0.24,0.29,0.24,0.47,0.47,0.31,0.37,0.25
Granada,12.44,10.24,23.31,3.44,3.12,6.75,10.69,11.71,23.12,3.88,4.94,9.12,1.12,0.88,2.06,1.56,2.06,3.75,-0.44,-1.18,-1.69,0.54,0.47,1.04,0.43,0.39,0.85,4.56,3.24,8,5.44,6.41,12.25,30,17,13,16,17,16,0.18,0.24,0.25,0.31,0.44,0.56,0.3,0.35,0.25
Villarreal,11.06,6.88,17.94,4,2.88,6.88,10.76,13.59,24.35,2.82,4.18,7,1.53,0.94,2.47,0.59,1.24,1.82,0.94,-0.29,0.65,0.52,0.33,0.85,0.59,0.38,0.98,5.47,3.88,9.35,4.82,6.59,11.41,60,39,21,17,17,17,0.29,0.35,0.71,0.18,1,0.53,0.59,0.76,0.41
Barcelona,16.94,15.06,32,7.53,6.35,13.88,9.71,10.65,20.35,3.76,3.47,7.24,3.29,2.35,5.65,0.82,0.88,1.71,2.47,1.47,3.94,0.64,0.59,1.23,0.66,0.68,1.34,5.88,5.76,11.65,3.35,4,7.35,79,43,36,17,17,17,0.65,0.18,0.82,0.06,1.47,0.24,0.77,0.84,0.71
Celta,14.12,9.71,23.82,4.94,3.41,8.35,9.94,14.47,24.41,3.94,4.71,8.65,1.53,1.24,2.76,1.41,1.76,3.18,0.12,-0.53,-0.41,0.58,0.41,0.98,0.54,0.44,0.98,6.59,4.12,10.71,3.88,5.53,9.41,54,27,27,17,17,17,0.47,0.18,0.41,0.35,0.88,0.53,0.53,0.53,0.53
