Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HTSR,ATSR,HTSTR,ATSTR,HTSCR,ATSCR,HTSTCR,ATSTCR,HF,AF,HFC,AFC,HC,AC,HCC,ACC,HCD,ACD,HCDC,ACDC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,PTR.O,PTR.H,PTR.A
Malaga,12.87,10.12,4.73,3.38,9.2,12,2.87,4.62,1.2,0.75,0.73,1.12,0.58,0.48,0.64,0.46,0.42,0.52,0.36,0.54,14.47,14.69,13,14.31,5,4.69,3.6,6.38,2.93,3.06,3.6,3.06,40,23,17,15,16,0.43,0.51,0.35
Ath Madrid,14.87,10.75,4.67,4.12,7.6,11.44,2,2.88,1.73,1.56,0.47,0.5,0.66,0.49,0.72,0.61,0.34,0.51,0.28,0.39,15.07,12.25,12.8,11.12,6.53,4.5,2.93,4.31,2.27,2.69,2.53,2.38,70,36,34,15,16,0.75,0.8,0.71
Espanol,10.87,10,4.2,3.31,11.87,14.81,4.2,4.88,1,1.06,1.47,2.19,0.46,0.39,0.46,0.4,0.54,0.61,0.54,0.6,17.6,17.81,13.67,13.94,5.47,4.62,5.13,5.06,3.27,3.44,3.27,2.69,36,25,11,15,16,0.39,0.56,0.23
La Coruna,13.47,10.44,4.73,3.69,7.67,12.81,2.6,4.94,1.6,1,1.27,1.56,0.62,0.45,0.62,0.44,0.38,0.55,0.38,0.56,10.87,11.62,12.13,11.19,6.2,3.81,4.47,5.94,2.6,2.25,2.27,2.06,37,20,17,15,16,0.4,0.44,0.35
Vallecano,13.75,12.07,4.94,4.2,11.19,14.13,4.44,5.87,1.38,1.4,1.5,2.6,0.55,0.45,0.53,0.44,0.45,0.55,0.47,0.56,14.88,14.4,13.88,13,5.44,6.2,4.88,5.67,3.31,3.2,2.38,2.2,31,22,9,16,15,0.33,0.46,0.2
Ath Bilbao,12.6,11.44,4.4,3.88,8.4,11.62,2.73,4.44,1.93,1.25,0.93,1.62,0.61,0.51,0.59,0.48,0.39,0.49,0.41,0.52,14.27,12.81,14.87,12.25,7,4.31,3.67,5.56,2.33,2.69,3.73,2.62,48,28,20,15,16,0.52,0.62,0.42
Betis,13.27,8.38,3.73,2.94,10.67,16.62,4.07,6.44,0.87,0.94,1.33,1.56,0.54,0.34,0.46,0.33,0.46,0.66,0.54,0.67,14,12.31,16.53,13.69,5.4,3.56,5.2,6.25,3.33,2.38,4,2.44,34,15,19,15,16,0.37,0.33,0.4
Levante,12.06,10.67,3.94,3.4,10.75,14.87,4.19,4.93,1.06,0.73,1.38,2.13,0.54,0.41,0.48,0.41,0.46,0.59,0.52,0.59,16,14.27,14.5,12.47,5.31,3.4,4.69,5.6,3.69,3.33,3.19,1.67,25,19,6,16,15,0.27,0.4,0.13
Sp Gijon,12.33,7.38,4.67,1.88,12.8,14.75,5.07,5.5,1.47,0.62,1.73,1.62,0.5,0.34,0.47,0.27,0.5,0.66,0.53,0.73,13.2,15.06,11.13,13.5,5.07,3.75,3.33,5.38,2.8,2.81,2.53,2.94,28,16,12,15,16,0.3,0.36,0.25
Granada,12.67,10.19,3.6,3.31,10.8,11.94,4,5.06,1.2,0.94,1.67,2,0.54,0.46,0.44,0.42,0.46,0.54,0.56,0.58,14.53,17.12,15,13.19,4.53,3.31,5.47,6.56,3.33,4.19,3.27,2.5,29,16,13,15,16,0.31,0.36,0.27
Villarreal,10.94,7.07,4.06,3,10.44,13.13,2.81,3.93,1.5,1,0.62,1.07,0.52,0.35,0.6,0.4,0.48,0.65,0.4,0.6,12.94,15.47,12.5,13.07,5.31,4.13,4.81,6.47,2.62,2.73,2.88,2.93,57,36,21,16,15,0.61,0.75,0.47
Barcelona,16.62,14.93,7.56,6.13,9.88,10.67,3.88,3.53,3.44,2.13,0.75,0.93,0.63,0.59,0.66,0.66,0.37,0.41,0.34,0.34,10.19,9.4,15.94,15.33,5.81,5.8,3.44,3.8,1.38,2.13,3.25,3.4,76,43,33,16,15,0.82,0.9,0.73
Celta,13.88,9.67,4.94,3.47,10,15.27,3.94,5,1.56,1.27,1.44,1.93,0.57,0.4,0.54,0.43,0.43,0.6,0.46,0.57,13.81,14.07,13.94,14.47,6.25,4.07,3.88,5.67,2.44,3.6,2.81,3.2,49,26,23,16,15,0.53,0.54,0.51
Real Madrid,20.56,17.47,9.5,6,11.12,11.67,3.69,3.73,3.75,1.93,0.88,1,0.65,0.6,0.71,0.6,0.35,0.4,0.29,0.4,11.31,11.2,11.62,16.27,7.25,6.2,4.12,4.2,1.69,2.2,3,3.2,69,40,29,16,15,0.74,0.83,0.64
Sociedad,13.93,11.12,4.13,4.12,10.07,11.31,3.67,4.56,1.2,1.31,1.07,1.62,0.59,0.5,0.52,0.5,0.41,0.5,0.48,0.5,12.33,12.38,14.8,16.62,6.87,3.81,4.53,5.88,2.8,3.19,3.53,3,38,20,18,15,16,0.41,0.44,0.38
Eibar,12.06,9.6,4.25,3.4,9.19,12.07,3.38,4.67,1.38,1.4,1.19,1.67,0.57,0.43,0.56,0.39,0.43,0.57,0.44,0.61,15.69,16.47,12.06,11.27,5.06,3.47,3.94,6.53,2.88,3.13,2.75,2.47,38,24,14,16,15,0.41,0.5,0.31
Getafe,12.12,9.4,4.06,2.53,11,14.27,3.69,6.47,1.19,0.6,0.75,2.8,0.53,0.41,0.5,0.3,0.47,0.59,0.5,0.7,13.5,13.4,12.19,12.87,5.44,4.13,5,5.8,3.06,3.13,2.56,2.33,28,23,5,16,15,0.3,0.48,0.11
Las Palmas,11.44,11.2,3.88,4.53,10,14.8,3.75,5.87,1.25,0.93,1,1.8,0.53,0.44,0.54,0.45,0.47,0.56,0.46,0.55,11.75,13.6,15.31,16.67,3.94,4.07,4.19,5.6,2.75,2.8,3.25,2.27,36,24,12,16,15,0.39,0.5,0.27
Sevilla,14.31,10.27,6.25,3.6,13.69,15.6,4.06,4.8,2.12,0.67,1,1.4,0.53,0.41,0.63,0.45,0.47,0.59,0.37,0.55,15.31,13,14.06,13.73,7.25,6.4,4.81,6.27,2.31,3,2.94,3.53,48,39,9,16,15,0.52,0.81,0.2
Valencia,12.4,8.38,4.2,2.81,13.6,13.69,4.4,4.69,1.27,0.94,1.27,1.19,0.48,0.38,0.5,0.39,0.52,0.62,0.5,0.61,15.2,15.19,16.93,17.81,5.53,3.81,5.73,7.62,2.07,3.94,2.27,2.94,34,19,15,15,16,0.37,0.42,0.31
